category,item,unit,cost_ngn,source_name,source_url,notes
Education,Basic school infrastructure package,packages,180000000,UBEC/state SUBEB and school-infrastructure planning references,https://ubec.gov.ng/,"benchmark_estimate_needs_BOQ: planning allowance for a modest public basic-education package such as classrooms, furniture, toilets/water point and simple site works. Actual costs depend on classroom count, foundation, location, furniture, WASH, power and state procurement rates."
Healthcare,Basic primary health centre construction or major upgrade,facility packages,120000000,NPHCDA/state PHC infrastructure planning references,https://nphcda.gov.ng/,"benchmark_estimate_needs_BOQ: planning allowance for a basic PHC construction or major upgrade package. The previous small support-package figure was too low for construction. Excludes major equipment, staff housing, ambulance, land, grid extension and unusual site works unless separately specified."
Water,Community borehole water point,community boreholes,4000000,WaterAid Nigeria / WASH planning references,https://www.wateraid.org/ng/,"benchmark_estimate_needs_BOQ: planning allowance for one community borehole water point. Typically covers drilling, casing, pump arrangement, apron/drainage and testing at simple sites. Solar pumping, deep geology, treatment, storage tanks and reticulation can raise the cost substantially."
Water,Community water system with storage and distribution points,community systems,60000000,WaterAid Nigeria / SURWASH-style WASH planning references,https://www.wateraid.org/ng/,"benchmark_estimate_needs_BOQ: a community water system is bigger than one borehole. It can include a source, solar or powered pumping, elevated/storage tank, treatment/testing, public taps or standpipes and distribution pipework. Final cost requires hydrogeology, water-quality tests and engineering design."
Roads,1 km laterite community access road with side drainage,km of community road,100000000,RAAMP rural access-road planning references,https://projects.worldbank.org/en/projects-operations/project-detail/P163353,"benchmark_estimate_needs_BOQ: planning allowance for a low-volume laterite access road with basic side drains. Paved urban roads, bridges, culverts, compensation, relocation, swampy terrain and asphalt surfacing can cost much more."
Housing,Compact 2-bedroom local-material family home,family homes,25000000,FMBN / Family Homes Funds / Nigerian housing-cost references,https://fmbn.gov.ng/,"benchmark_estimate_needs_BOQ: cautious 2026 planning benchmark for a compact 2-bedroom family home for about four people. Plausible planning range is about ₦18m-₦30m before land, estate roads, major drainage, grid extension, borehole, solar system, fencing, professional fees, approvals, developer finance costs and unusual foundations."
Power,Community solar mini-grid package,community mini-grids,180000000,Rural Electrification Agency / mini-grid planning references,https://rea.gov.ng/,"benchmark_estimate_needs_BOQ: planning allowance for a small community solar mini-grid package. Final cost depends on load study, generation capacity, batteries, inverter capacity, poles, wiring, meters, distribution distance, security, O&M and tariff design."
Flooding and erosion,1 km neighbourhood drainage and erosion-control works,km of drainage works,150000000,NEWMAP / ACReSAL flood and erosion planning references,https://projects.worldbank.org/en/projects-operations/project-detail/P124905,"benchmark_estimate_needs_engineering_design: planning allowance for 1 km of neighbourhood drainage, culverts, erosion protection and related community works. This is not a verified unit-rate schedule. It must be checked with survey, hydrology, soil, outfall, right-of-way and BOQ design before use for procurement."
Welfare,Very poor household support allowance for one year,households for one year,300000,Nigeria social assistance planning references,https://nassp.gov.ng/,"policy_assumption_needs_program_design: assumes ₦25,000 monthly household support for 12 months. Eligibility, targeting, payment fees, grievance redress and monitoring costs must be defined separately."
Welfare,Disability or elderly support allowance for one year,people for one year,240000,Social welfare allowance planning references,https://fmhds.gov.ng/,"policy_assumption_needs_program_design: assumes ₦20,000 monthly support for 12 months for a disabled or elderly person. This is not an official entitlement level."
Welfare,Child support allowance for one year,children for one year,180000,Child-sensitive social protection planning references,https://www.unicef.org/nigeria/,"policy_assumption_needs_program_design: assumes ₦15,000 monthly support for 12 months. Delivery should be linked to child welfare, school attendance, nutrition or safeguarding rules where appropriate."
